"Source word","ACC","F-score","MRR","MAP_ref","FirstCandidate","Best matching reference","Best matching Candidate","References"
'''''la,1.000000,1.000000,1.000000,1.000000,ءءءءءلا,ءءءءءلا,ءءءءءلا,"ءءءءءلا"
'''bestie''',1.000000,1.000000,1.000000,1.000000,ءءءبيستيايءءء,ءءءبيستيايءءء,ءءءبيستيايءءء,"ءءءبيستيايءءء"
'''grima,1.000000,1.000000,1.000000,1.000000,ءءءڬريما,ءءءڬريما,ءءءڬريما,"ءءءڬريما"
'''groupon''',1.000000,1.000000,1.000000,1.000000,ءءءڬروڤونءءء,ءءءڬروڤونءءء,ءءءڬروڤونءءء,"ءءءڬروڤونءءء"
'''hukum-hakam,1.000000,1.000000,1.000000,1.000000,ءءءحكوم-حكام,ءءءحكوم-حكام,ءءءحكوم-حكام,"ءءءحكوم-حكام"
'''injap,1.000000,1.000000,1.000000,1.000000,ءءءينجڤ,ءءءينجڤ,ءءءينجڤ,"ءءءينجڤ"
'''kwsp''',1.000000,1.000000,1.000000,1.000000,ءءءقوسڤءءء,ءءءقوسڤءءء,ءءءقوسڤءءء,"ءءءقوسڤءءء"
'''mahmudiah''',1.000000,1.000000,1.000000,1.000000,ءءءمهموديهءءء,ءءءمهموديهءءء,ءءءمهموديهءءء,"ءءءمهموديهءءء"
'''makaveli''',1.000000,1.000000,1.000000,1.000000,ءءءمكۏيليءءء,ءءءمكۏيليءءء,ءءءمكۏيليءءء,"ءءءمكۏيليءءء"
'''murad,1.000000,1.000000,1.000000,1.000000,ءءءمراد,ءءءمراد,ءءءمراد,"ءءءمراد"
'''nanjangud''',1.000000,1.000000,1.000000,1.000000,ءءءننجڠودءءء,ءءءننجڠودءءء,ءءءننجڠودءءء,"ءءءننجڠودءءء"
'''negasi''',1.000000,1.000000,1.000000,1.000000,ءءءنڬاسيءءء,ءءءنڬاسيءءء,ءءءنڬاسيءءء,"ءءءنڬاسيءءء"
'''saarland''',1.000000,1.000000,1.000000,1.000000,ءءءساعرلندءءء,ءءءساعرلندءءء,ءءءساعرلندءءء,"ءءءساعرلندءءء"
'''sasha''',1.000000,1.000000,1.000000,1.000000,ءءءسسهاءءء,ءءءسسهاءءء,ءءءسسهاءءء,"ءءءسسهاءءء"
''andrea,1.000000,1.000000,1.000000,1.000000,ءءاندريا,ءءاندريا,ءءاندريا,"ءءاندريا"
''argyll'',1.000000,1.000000,1.000000,1.000000,ءءارڬيللءء,ءءارڬيللءء,ءءارڬيللءء,"ءءارڬيللءء"
''cair'',1.000000,1.000000,1.000000,1.000000,ءءچايرءء,ءءچايرءء,ءءچايرءء,"ءءچايرءء"
''cross-over'',1.000000,1.000000,1.000000,1.000000,ءءكروسس-اوۏرءء,ءءكروسس-اوۏرءء,ءءكروسس-اوۏرءء,"ءءكروسس-اوۏرءء"
''ejen,1.000000,1.000000,1.000000,1.000000,ءءايجين,ءءايجين,ءءايجين,"ءءايجين"
''gonryomaru'',1.000000,1.000000,0.500000,0.000000,ءءڬونرياوماروءء,ءءڬونريعمراوءء,ءءڬونريعمراوءء,"ءءڬونريعمراوءء"
''hank,1.000000,1.000000,1.000000,1.000000,ءءهنق,ءءهنق,ءءهنق,"ءءهنق"
''majmoo',1.000000,1.000000,1.000000,1.000000,ءءمجمواوء,ءءمجمواوء,ءءمجمواوء,"ءءمجمواوء"
''negro'',1.000000,1.000000,1.000000,1.000000,ءءنيڬروءء,ءءنيڬروءء,ءءنيڬروءء,"ءءنيڬروءء"
''patriotism'',1.000000,1.000000,1.000000,1.000000,ءءڤاتريوتيسمءء,ءءڤاتريوتيسمءء,ءءڤاتريوتيسمءء,"ءءڤاتريوتيسمءء"
''prodromus'',1.000000,1.000000,1.000000,1.000000,ءءڤرودروموسءء,ءءڤرودروموسءء,ءءڤرودروموسءء,"ءءڤرودروموسءء"
''raihan,1.000000,1.000000,1.000000,1.000000,ءءريحان,ءءريحان,ءءريحان,"ءءريحان"
''rompak'',1.000000,1.000000,1.000000,1.000000,ءءرومڤقءء,ءءرومڤقءء,ءءرومڤقءء,"ءءرومڤقءء"
''samarkand'',1.000000,1.000000,1.000000,1.000000,ءءسامركندءء,ءءسامركندءء,ءءسامركندءء,"ءءسامركندءء"
''teh-halia'',1.000000,1.000000,1.000000,1.000000,ءءتيه-هلياءء,ءءتيه-هلياءء,ءءتيه-هلياءء,"ءءتيه-هلياءء"
''varicella,1.000000,1.000000,1.000000,1.000000,ءءۏاريچللا,ءءۏاريچللا,ءءۏاريچللا,"ءءۏاريچللا"
''vinyl,1.000000,1.000000,1.000000,1.000000,ءءۏينيل,ءءۏينيل,ءءۏينيل,"ءءۏينيل"
''zoetrope'',1.000000,1.000000,1.000000,1.000000,ءءزوايتروڤيءء,ءءزوايتروڤيءء,ءءزوايتروڤيءء,"ءءزوايتروڤيءء"
agamamu",1.000000,1.000000,1.000000,1.000000,اڬاممو",اڬاممو",اڬاممو","اڬاممو""
al-qashash,1.000000,1.000000,1.000000,1.000000,القشاش,القشاش,القشاش,"القشاش"
amleto,1.000000,1.000000,1.000000,1.000000,عاملتو,عاملتو,عاملتو,"عاملتو"
apabilasahaja,1.000000,1.000000,1.000000,1.000000,اڤابيلاسهاج,اڤابيلاسهاج,اڤابيلاسهاج,"اڤابيلاسهاج"
asal-usulmu",1.000000,1.000000,1.000000,1.000000,اصل-اصولمو",اصل-اصولمو",اصل-اصولمو","اصل-اصولمو""
asele,1.000000,1.000000,1.000000,1.000000,اسيلي,اسيلي,اسيلي,"اسيلي"
asiatique'',1.000000,1.000000,1.000000,1.000000,اسيعتيقايءء,اسيعتيقايءء,اسيعتيقايءء,"اسيعتيقايءء"
audiology,1.000000,1.000000,1.000000,1.000000,اءوديولوڬي,اءوديولوڬي,اءوديولوڬي,"اءوديولوڬي"
baalbek,1.000000,1.000000,1.000000,1.000000,باالبيك,باالبيك,باالبيك,"باالبيك"
badinter,1.000000,1.000000,1.000000,1.000000,بادينتر,بادينتر,بادينتر,"بادينتر"
bahawa--,1.000000,1.000000,1.000000,1.000000,بهاوا--,بهاوا--,بهاوا--,"بهاوا--"
bbahkan,1.000000,1.000000,1.000000,1.000000,ببهكن,ببهكن,ببهكن,"ببهكن"
becha'',1.000000,1.000000,1.000000,1.000000,بيچهاءء,بيچهاءء,بيچهاءء,"بيچهاءء"
belarusy,0.000000,0.888889,0.000000,0.000000,بلاروسي,بيلاروسياي,بيلاروسي,"بيلاروسياي"
benoist,1.000000,1.000000,1.000000,1.000000,بنواست,بنواست,بنواست,"بنواست"
berfotosintesis,1.000000,1.000000,1.000000,1.000000,برفوتوسينتيسيس,برفوتوسينتيسيس,برفوتوسينتيسيس,"برفوتوسينتيسيس"
bolehkan,1.000000,1.000000,1.000000,1.000000,بوليهكن,بوليهكن,بوليهكن,"بوليهكن"
brancai'',1.000000,1.000000,1.000000,1.000000,برانچايءء,برانچايءء,برانچايءء,"برانچايءء"
brenan,1.000000,1.000000,1.000000,1.000000,برينن,برينن,برينن,"برينن"
buta-nya,1.000000,1.000000,1.000000,1.000000,بوتا-ڽ,بوتا-ڽ,بوتا-ڽ,"بوتا-ڽ"
butl,1.000000,1.000000,1.000000,1.000000,بوتل,بوتل,بوتل,"بوتل"
carpetbagger,1.000000,1.000000,1.000000,1.000000,چرڤيتبڬڬر,چرڤيتبڬڬر,چرڤيتبڬڬر,"چرڤيتبڬڬر"
chatelet,1.000000,1.000000,1.000000,1.000000,چتيليت,چتيليت,چتيليت,"چتيليت"
dammers,1.000000,1.000000,1.000000,1.000000,دممرس,دممرس,دممرس,"دممرس"
darpana,1.000000,1.000000,1.000000,1.000000,درڤان,درڤان,درڤان,"درڤان"
dato'satim,1.000000,1.000000,1.000000,1.000000,داتوءساتيم,داتوءساتيم,داتوءساتيم,"داتوءساتيم"
ddeog,1.000000,1.000000,1.000000,1.000000,دديوڬ,دديوڬ,دديوڬ,"دديوڬ"
deerwester,1.000000,1.000000,1.000000,1.000000,دييرويستر,دييرويستر,دييرويستر,"دييرويستر"
diak,1.000000,1.000000,1.000000,1.000000,دأك,دأك,دأك,"دأك"
dusta,1.000000,1.000000,1.000000,1.000000,دوستا,دوستا,دوستا,"دوستا"
eksiden,1.000000,1.000000,1.000000,1.000000,ايكسيدن,ايكسيدن,ايكسيدن,"ايكسيدن"
emmet's,1.000000,1.000000,1.000000,1.000000,اممتءس,اممتءس,اممتءس,"اممتءس"
explained,1.000000,1.000000,1.000000,1.000000,ايايك س ڤيلاينيد,ايايك س ڤيلاينيد,ايايك س ڤيلاينيد,"ايايك س ڤيلاينيد"
ezel,1.000000,1.000000,1.000000,1.000000,ايزيل,ايزيل,ايزيل,"ايزيل"
fabruari,1.000000,1.000000,1.000000,1.000000,فابرواري,فابرواري,فابرواري,"فابرواري"
feldmanandrew,1.000000,1.000000,1.000000,1.000000,فيلدمانندريو,فيلدمانندريو,فيلدمانندريو,"فيلدمانندريو"
ffas,1.000000,1.000000,1.000000,1.000000,ففاس,ففاس,ففاس,"ففاس"
filtration,1.000000,1.000000,1.000000,1.000000,فيلتراشن,فيلتراشن,فيلتراشن,"فيلتراشن"
fjp,1.000000,1.000000,1.000000,1.000000,فجڤ,فجڤ,فجڤ,"فجڤ"
forening,1.000000,1.000000,1.000000,1.000000,فورينيڠ,فورينيڠ,فورينيڠ,"فورينيڠ"
freston,1.000000,1.000000,1.000000,1.000000,فريستون,فريستون,فريستون,"فريستون"
girls",1.000000,1.000000,1.000000,1.000000,ڬيرلس",ڬيرلس",ڬيرلس","ڬيرلس""
ha-kodesh'',1.000000,1.000000,1.000000,1.000000,ها-كوديسهءء,ها-كوديسهءء,ها-كوديسهءء,"ها-كوديسهءء"
hasni,1.000000,1.000000,1.000000,1.000000,هسني,هسني,هسني,"هسني"
hea'',1.000000,1.000000,1.000000,1.000000,هياءء,هياءء,هياءء,"هياءء"
hirang,1.000000,1.000000,1.000000,1.000000,هيرڠ,هيرڠ,هيرڠ,"هيرڠ"
hitch,1.000000,1.000000,1.000000,1.000000,هيتچه,هيتچه,هيتچه,"هيتچه"
homesick,1.000000,1.000000,1.000000,1.000000,هوميسيچق,هوميسيچق,هوميسيچق,"هوميسيچق"
hongssi,1.000000,1.000000,1.000000,1.000000,هوڠسسي,هوڠسسي,هوڠسسي,"هوڠسسي"
ini--teleskop,1.000000,1.000000,1.000000,1.000000,اين--تيليسكوڤ,اين--تيليسكوڤ,اين--تيليسكوڤ,"اين--تيليسكوڤ"
jitab,1.000000,1.000000,1.000000,1.000000,جيتب,جيتب,جيتب,"جيتب"
julat,1.000000,1.000000,1.000000,1.000000,جولت,جولت,جولت,"جولت"
k'ank'in,1.000000,1.000000,1.000000,1.000000,قءانقءين,قءانقءين,قءانقءين,"قءانقءين"
kachi,1.000000,1.000000,1.000000,1.000000,كاچي,كاچي,كاچي,"كاچي"
kawah,1.000000,1.000000,1.000000,1.000000,كاوه,كاوه,كاوه,"كاوه"
kejadian''''',1.000000,1.000000,1.000000,1.000000,كجادينءءءءء,كجادينءءءءء,كجادينءءءءء,"كجادينءءءءء"
khmyny,1.000000,1.000000,1.000000,1.000000,خمايني,خمايني,خمايني,"خمايني"
kolien,1.000000,1.000000,1.000000,1.000000,كوليان,كوليان,كوليان,"كوليان"
kucharova,1.000000,1.000000,1.000000,1.000000,كوچروۏا,كوچروۏا,كوچروۏا,"كوچروۏا"
lanset,1.000000,1.000000,1.000000,1.000000,لنسيت,لنسيت,لنسيت,"لنسيت"
lautjalan,1.000000,1.000000,1.000000,1.000000,لاوتجالن,لاوتجالن,لاوتجالن,"لاوتجالن"
lemforde,1.000000,1.000000,1.000000,1.000000,لمفورد,لمفورد,لمفورد,"لمفورد"
leukosis,1.000000,1.000000,1.000000,1.000000,لياوكوسيس,لياوكوسيس,لياوكوسيس,"لياوكوسيس"
lillois,1.000000,1.000000,1.000000,1.000000,ليللويس,ليللويس,ليللويس,"ليللويس"
linlithgow,1.000000,1.000000,1.000000,1.000000,لينليتهڬوو,لينليتهڬوو,لينليتهڬوو,"لينليتهڬوو"
luhmann,1.000000,1.000000,1.000000,1.000000,لوهمنن,لوهمنن,لوهمنن,"لوهمنن"
ma'ruf,1.000000,1.000000,1.000000,1.000000,مءروف,مءروف,مءروف,"مءروف"
machinfabrik,1.000000,1.000000,1.000000,1.000000,مچينفابريق,مچينفابريق,مچينفابريق,"مچينفابريق"
maghbal,1.000000,1.000000,1.000000,1.000000,مغبل,مغبل,مغبل,"مغبل"
mefistofele'',1.000000,1.000000,1.000000,1.000000,مفيستوفيليءء,مفيستوفيليءء,مفيستوفيليءء,"مفيستوفيليءء"
meneka-neka,1.000000,1.000000,0.500000,0.000000,منك-نيك,منكا-نيك,منكا-نيك,"منكا-نيك"
mengelisahkan,1.000000,1.000000,1.000000,1.000000,مڠليسهكن,مڠليسهكن,مڠليسهكن,"مڠليسهكن"
methenium,1.000000,1.000000,1.000000,1.000000,متيهنيوم,متيهنيوم,متيهنيوم,"متيهنيوم"
metropolitanos,1.000000,1.000000,0.500000,0.000000,ميتروڤوليتانوس,ميتروڤوليتناوس,ميتروڤوليتناوس,"ميتروڤوليتناوس"
minarsih,1.000000,1.000000,0.500000,0.000000,مينرسيه,مينارسيه,مينارسيه,"مينارسيه"
minimoto,1.000000,1.000000,1.000000,1.000000,مينيموتو,مينيموتو,مينيموتو,"مينيموتو"
modisane,1.000000,1.000000,1.000000,1.000000,موديساني,موديساني,موديساني,"موديساني"
muhaidin,0.000000,0.933333,0.000000,0.000000,موهيدين,موهايدين,موهيدين,"موهايدين"
mulilo,1.000000,1.000000,1.000000,1.000000,موليلو,موليلو,موليلو,"موليلو"
multics,1.000000,1.000000,1.000000,1.000000,مولتيچس,مولتيچس,مولتيچس,"مولتيچس"
muwahhidin,1.000000,1.000000,1.000000,1.000000,مووههيدين,مووههيدين,مووههيدين,"مووههيدين"
naro-,1.000000,1.000000,1.000000,1.000000,نارو-,نارو-,نارو-,"نارو-"
narranga,1.000000,1.000000,0.500000,0.000000,نرراڠ,نرراڠا,نرراڠا,"نرراڠا"
ngit,1.000000,1.000000,1.000000,1.000000,ڠيت,ڠيت,ڠيت,"ڠيت"
ngwokoma,1.000000,1.000000,1.000000,1.000000,ڠووكوم,ڠووكوم,ڠووكوم,"ڠووكوم"
nikisuwo,1.000000,1.000000,1.000000,1.000000,نيكيسووو,نيكيسووو,نيكيسووو,"نيكيسووو"
nuvaring,1.000000,1.000000,1.000000,1.000000,نوۏاريڠ,نوۏاريڠ,نوۏاريڠ,"نوۏاريڠ"
olimpiad,1.000000,1.000000,1.000000,1.000000,اوليمڤياد,اوليمڤياد,اوليمڤياد,"اوليمڤياد"
open-access,1.000000,1.000000,1.000000,1.000000,اوڤن-اچچسس,اوڤن-اچچسس,اوڤن-اچچسس,"اوڤن-اچچسس"
pambangunan,1.000000,1.000000,1.000000,1.000000,ڤمباڠونن,ڤمباڠونن,ڤمباڠونن,"ڤمباڠونن"
panther,1.000000,1.000000,1.000000,1.000000,ڤنتيهر,ڤنتيهر,ڤنتيهر,"ڤنتيهر"
penaflorida,1.000000,1.000000,1.000000,1.000000,ڤنافلوريدا,ڤنافلوريدا,ڤنافلوريدا,"ڤنافلوريدا"
penisbahan,1.000000,1.000000,1.000000,1.000000,ڤنيسباهن,ڤنيسباهن,ڤنيسباهن,"ڤنيسباهن"
penth,1.000000,1.000000,1.000000,1.000000,ڤينث,ڤينث,ڤينث,"ڤينث"
peny-,1.000000,1.000000,1.000000,1.000000,ڤيني-,ڤيني-,ڤيني-,"ڤيني-"
pependang,1.000000,1.000000,1.000000,1.000000,ڤڤنداڠ,ڤڤنداڠ,ڤڤنداڠ,"ڤڤنداڠ"
perawatan,1.000000,1.000000,1.000000,1.000000,ڤراوطن,ڤراوطن,ڤراوطن,"ڤراوطن"
pharmaceutical,1.000000,1.000000,1.000000,1.000000,فارمچاييوتيچل,فارمچاييوتيچل,فارمچاييوتيچل,"فارمچاييوتيچل"
phillipines,1.000000,1.000000,1.000000,1.000000,فيلليڤينيس,فيلليڤينيس,فيلليڤينيس,"فيلليڤينيس"
phonesavanh,1.000000,1.000000,1.000000,1.000000,فونساۏانه,فونساۏانه,فونساۏانه,"فونساۏانه"
pilli,1.000000,1.000000,1.000000,1.000000,ڤيللي,ڤيللي,ڤيللي,"ڤيللي"
plural,1.000000,1.000000,1.000000,1.000000,ڤلورال,ڤلورال,ڤلورال,"ڤلورال"
pnerbit,1.000000,1.000000,1.000000,1.000000,ڤنربيت,ڤنربيت,ڤنربيت,"ڤنربيت"
pocari,1.000000,1.000000,1.000000,1.000000,ڤوچاري,ڤوچاري,ڤوچاري,"ڤوچاري"
rayang,1.000000,1.000000,1.000000,1.000000,رايڠ,رايڠ,رايڠ,"رايڠ"
realidad,1.000000,1.000000,1.000000,1.000000,رياليدد,رياليدد,رياليدد,"رياليدد"
rekododa,1.000000,1.000000,1.000000,1.000000,ريكودودا,ريكودودا,ريكودودا,"ريكودودا"
roemani,1.000000,1.000000,0.500000,0.000000,روايمنا,روايماني,روايماني,"روايماني"
roland-peel,1.000000,1.000000,1.000000,1.000000,رولند-ڤايل,رولند-ڤايل,رولند-ڤايل,"رولند-ڤايل"
rtsp,1.000000,1.000000,1.000000,1.000000,رثڤ,رثڤ,رثڤ,"رثڤ"
sahi,1.000000,1.000000,1.000000,1.000000,ساهي,ساهي,ساهي,"ساهي"
sands'',1.000000,1.000000,1.000000,1.000000,ساندسءء,ساندسءء,ساندسءء,"ساندسءء"
shebelle,1.000000,1.000000,1.000000,1.000000,سهيبيللي,سهيبيللي,سهيبيللي,"سهيبيللي"
sheoak,1.000000,1.000000,1.000000,1.000000,سهياواك,سهياواك,سهياواك,"سهياواك"
shimamotodia,1.000000,1.000000,1.000000,1.000000,شيمموتودي,شيمموتودي,شيمموتودي,"شيمموتودي"
sixty,1.000000,1.000000,1.000000,1.000000,سيايك ستي,سيايك ستي,سيايك ستي,"سيايك ستي"
soewirjo,1.000000,1.000000,1.000000,1.000000,سوايويرجو,سوايويرجو,سوايويرجو,"سوايويرجو"
sonsang",1.000000,1.000000,1.000000,1.000000,سونسڠ",سونسڠ",سونسڠ","سونسڠ""
sujiwo,1.000000,1.000000,1.000000,1.000000,سوجيوو,سوجيوو,سوجيوو,"سوجيوو"
talampakan,1.000000,1.000000,1.000000,1.000000,تالمڤاكن,تالمڤاكن,تالمڤاكن,"تالمڤاكن"
taliabu,1.000000,1.000000,1.000000,1.000000,تاليابو,تاليابو,تاليابو,"تاليابو"
tama'ninah,1.000000,1.000000,0.500000,0.000000,تمءنينه,تامءنينه,تامءنينه,"تامءنينه"
tambuluran,1.000000,1.000000,1.000000,1.000000,تمبولورن,تمبولورن,تمبولورن,"تمبولورن"
telegrafie,1.000000,1.000000,1.000000,1.000000,تيليڬرافي,تيليڬرافي,تيليڬرافي,"تيليڬرافي"
temmengong,1.000000,1.000000,1.000000,1.000000,تممڠوڠ,تممڠوڠ,تممڠوڠ,"تممڠوڠ"
threlfall''',1.000000,1.000000,1.000000,1.000000,ثريلفاللءءء,ثريلفاللءءء,ثريلفاللءءء,"ثريلفاللءءء"
tiksotropi,1.000000,1.000000,1.000000,1.000000,تيقسوتروڤي,تيقسوتروڤي,تيقسوتروڤي,"تيقسوتروڤي"
tokek,1.000000,1.000000,1.000000,1.000000,توكيق,توكيق,توكيق,"توكيق"
tongkang,1.000000,1.000000,1.000000,1.000000,توڠكڠ,توڠكڠ,توڠكڠ,"توڠكڠ"
torpedonostsy,1.000000,1.000000,1.000000,1.000000,تورڤدونوسثي,تورڤدونوسثي,تورڤدونوسثي,"تورڤدونوسثي"
tradiri,1.000000,1.000000,1.000000,1.000000,تراديري,تراديري,تراديري,"تراديري"
tyrans,1.000000,1.000000,1.000000,1.000000,تيرنس,تيرنس,تيرنس,"تيرنس"
usage,1.000000,1.000000,1.000000,1.000000,اوسڬ,اوسڬ,اوسڬ,"اوسڬ"
wal,1.000000,1.000000,1.000000,1.000000,ول,ول,ول,"ول"
walle''',1.000000,1.000000,1.000000,1.000000,ولليءءء,ولليءءء,ولليءءء,"ولليءءء"
wlayah,1.000000,1.000000,1.000000,1.000000,ولايه,ولايه,ولايه,"ولايه"
xie,1.000000,1.000000,1.000000,1.000000,زياي,زياي,زياي,"زياي"
yatna,1.000000,1.000000,1.000000,1.000000,يتنا,يتنا,يتنا,"يتنا"
zaki'',1.000000,1.000000,1.000000,1.000000,زاكيءء,زاكيءء,زاكيءء,"زاكيءء"
zi-ka-wei,1.000000,1.000000,1.000000,1.000000,زي-كا-ويا,زي-كا-ويا,زي-كا-ويا,"زي-كا-ويا"
